verb,count,noun,count,adj,count,adv,count
erschießen,428.0,Sinn,451,19.,66.0,miteinander,201.0
steigen,425.0,Rest,447,emotional,66.0,ok,200.0
verheiraten,424.0,Stimme,447,dunkel,65.0,verantwortlich,197.0
zahlen,421.0,Sieh,446,genau,65.0,jemals,195.0
Siehst,414.0,Verzeihung,446,krank,65.0,glaub,193.0
klingen,405.0,Mond,446,innerer,65.0,Jawohl,189.0
verlangen,402.0,Team,442,außerirdisch,65.0,heiß,189.0
aufhören,400.0,Eltern,441,dämlich,64.0,wunderschön,187.0
gibt'sn,400.0,Fenster,439,bös,62.0,Zieh,184.0
drehen,398.0,Beweis,434,spanisch,62.0,drüber,181.0
bitte,397.0,Ah,431,ernst,62.0,nachts,180.0
sorgen,393.0,Bein,430,einzeln,61.0,perfekt,178.0
tanzen,390.0,Kaffee,429,gemein,60.0,leer,177.0
verändern,390.0,Feind,416,ner,59.0,groß,175.0
verdammen,390.0,Reise,414,einsam,59.0,gesund,173.0
stören,383.0,Gericht,414,gebrochen,58.0,dringend,170.0
Sieht,382.0,Wohnung,413,klein,58.0,zufrieden,168.0
fürchten,382.0,Menge,413,wüs,58.0,ähnlich,168.0
treten,381.0,Ehre,413,spannend,58.0,einsam,167.0
lässen,377.0,Fuß,408,schwach,57.0,stell,167.0
ansehen,371.0,Tasche,408,10.,56.0,interessiert,164.0
landen,366.0,Mund,406,lebend,56.0,fair,164.0
bestehen,356.0,gib,402,weiblich,56.0,vorne,164.0
kosten,354.0,-Was,396,tödlich,56.0,hab's,163.0
aufhalten,353.0,Meinung,393,unglaublich,56.0,meinst,162.0
überleben,353.0,Party,393,total,56.0,Sieh,161.0
besuchen,349.0,Maschine,389,warm,55.0,sauer,161.0
verlieben,349.0,Computer,388,7.,55.0,willkommen,160.0
erhalten,348.0,Leiche,387,gering,55.0,herein,160.0
handeln,348.0,Idiot,387,ehrlich,54.0,wach,160.0
nachdenken,347.0,essen,386,britisch,54.0,halb,160.0
interessieren,338.0,Information,386,grau,54.0,soweit,159.0
kommsen,335.0,Seele,385,erstaunlich,54.0,abend,158.0
Bringen,333.0,Meter,384,17.,54.0,dorthin,156.0
erwischen,331.0,Brücke,382,16.,54.0,heim,156.0
wirken,331.0,Präsident,381,unbekannt,54.0,gemeinsam,153.0
sag,330.0,Haar,378,irr,53.0,worüber,153.0
küssen,329.0,Punkt,378,laut,53.0,längst,152.0
überlegen,328.0,Tag,373,natürlich,53.0,-Ich,151.0
erlauben,317.0,Karte,372,scharf,53.0,rum,149.0
übernehmen,314.0,Wahl,372,hervorragend,53.0,prima,147.0
stehlen,313.0,Schlüssel,371,vernünftig,52.0,schwach,146.0
weinen,313.0,Zeug,368,militärisch,52.0,deutlich,146.0
entdecken,313.0,Gesetz,365,14.,52.0,vorhin,146.0
teilen,312.0,Ärger,364,ungewöhnlich,52.0,zuvor,146.0
schreien,310.0,Jung,363,offiziell,52.0,woanders,144.0
beenden,310.0,Stelle,363,euren,52.0,dunkel,144.0
treiben,305.0,Königin,363,13.,51.0,Okay,143.0
bieten,302.0,Gib,362,fest,51.0,selbstverständlich,143.0
schenken,302.0,Arm,360,braun,51.0,unschuldig,143.0
verhaften,299.0,Koffer,360,lausig,51.0,schwanger,141.0
irren,298.0,Volk,358,18.,50.0,beinahe,140.0
schätzen,297.0,Boden,356,wundervoll,50.0,leise,140.0
zählen,297.0,Brief,356,national,50.0,peinlich,140.0
vertrauen,296.0,Erinnerung,355,Nächste,50.0,drinnen,139.0
verbringen,294.0,Gefängnis,352,selten,49.0,schade,138.0
verfolgen,293.0,bitte,350,politisch,49.0,erinnerst,137.0
Lass,292.0,Mission,349,reizend,48.0,dankbar,137.0
Verdammt,292.0,Zukunft,348,elend,48.0,sauber,136.0
annehmen,291.0,Alter,348,fahrend,48.0,vermutlich,135.0
planen,291.0,Kleid,347,steht's,48.0,Schön,134.0
lügen,287.0,Schwein,347,fliegend,47.0,mindestens,133.0
Seht,283.0,Tier,346,gestohlen,47.0,zufällig,133.0
lösen,282.0,Person,346,15.,47.0,offensichtlich,131.0
herausfinden,282.0,Bericht,344,hässlich,46.0,sag,130.0
jagen,279.0,Sicherheit,342,still,46.0,schief,130.0
aufgeben,278.0,Professor,342,11.,46.0,vollkommen,129.0
fassen,276.0,Ruf,341,aufregend,46.0,Bestimmt,129.0
wählen,273.0,Nase,338,23.,46.0,womit,129.0
verraten,272.0,Setz,333,Nächstes,45.0,erstens,129.0
feuern,272.0,Kontakt,332,gesund,45.0,rauf,127.0
werden,272.0,Soldat,331,weich,45.0,besorgt,126.0
spüren,271.0,Bulle,331,modern,45.0,betrunken,126.0
schwören,269.0,Schmerz,326,feindlich,45.0,hinterher,126.0
schützen,267.0,Mark,326,religiös,45.0,zweimal,126.0
verzeihen,266.0,Opfer,325,sauber,44.0,fern,126.0
überraschen,266.0,Band,324,edl,44.0,mach,124.0
überzeugen,265.0,Anfang,322,9.,44.0,entfernt,123.0
leisten,264.0,Raum,322,wertvoll,44.0,hinein,123.0
klappen,264.0,Gefahr,320,körperlich,44.0,heutzutage,122.0
ergeben,264.0,Regel,320,elektrisch,44.0,Schade,120.0
Vergiss,260.0,Laden,319,klug,43.0,Schnell,120.0
behandeln,260.0,Nähe,319,doppelt,43.0,desto,120.0
befinden,258.0,Klappe,319,ruhig,43.0,umsonst,119.0
hab's,257.0,Mörder,319,erneut,43.0,angeblich,119.0
gebären,253.0,Geschenk,318,kompliziert,43.0,morgens,119.0
zwingen,252.0,Ball,318,gewaltig,42.0,geheim,118.0
einladen,251.0,Versuch,316,geliebt,42.0,inzwischen,118.0
hättest,250.0,Zeitung,316,eng,42.0,nachher,118.0
greifen,250.0,Verbindung,316,unschuldig,41.0,rot,117.0
träumen,246.0,-Ich,314,irgendwelcher,41.0,wahnsinnig,116.0
mitnehmen,246.0,Finger,312,direkt,41.0,2.,116.0
verpassen,243.0,Bescheid,310,cool,41.0,warm,114.0
